job_id,title,region_province,region_city,region_code,address_full,organization,organization_detail,employment_type,employment_type_name,min_age,max_age,recruitment_count,start_date,end_date,application_start,application_end,deadline_status,application_method,application_method_code,requirements,detail_content,contact_person,contact_number,homepage,source_id,wanted_auth_no,text_representation
KJAV002510240003,국방부근무지원단 공무직근로자(행정안내원) 채용 공고,서울,용산구,10210,"04382 서울특별시 용산구 한강대로62길 79, 6층 (용산동3가)",국방부근무지원단,국방부근무지원단,CM0105,CM0105,60,0,1,2025-10-24,2025-11-12,2025-10-24,2025-11-12,접수중,방문,CM0804,"['보훈취업지원대상자', '장애인']",,정상협,02-748-1123,,B,KJAV002510240003,"채용 공고: 국방부근무지원단 공무직근로자(행정안내원) 채용 공고
기관명: 국방부근무지원단
근무지역: 서울 용산구
상세주소: 04382 서울특별시 용산구 한강대로62길 79, 6층 (용산동3가)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-24 ~ 2025-11-12
접수상태: 접수중
접수방법: 방문
우대사항: 보훈취업지원대상자, 장애인
담당자: 정상협 | 연락처: 02-748-1123"
KJND002510240001,한국폴리텍대학 바이오캠퍼스 무기계약직원(대학운영직-조리원) 채용 공고,충남,논산시,150040,32943 충청남도 논산시 강경읍 동안로112번길 48,한국폴리텍대학바이오캠퍼스,한국폴리텍대학바이오캠퍼스,CM0105,CM0105,60,0,1,2025-10-24,2025-11-02,2025-10-24,2025-11-02,접수중,방문,CM0804,"['보훈취업지원대상자', '북한이탈주민', '장애인 식품위생법에 따른 유효기간 만료 전 건강진단결과서(보건증) 유효한 자\n* 임용예정일(2025.8.18.) 기준 유효하여야 함.']",,정인학,041-746-8888,http://bio.kopo.ac.kr/,B,KJND002510240001,"채용 공고: 한국폴리텍대학 바이오캠퍼스 무기계약직원(대학운영직-조리원) 채용 공고
기관명: 한국폴리텍대학바이오캠퍼스
근무지역: 충남 논산시
상세주소: 32943 충청남도 논산시 강경읍 동안로112번길 48
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-24 ~ 2025-11-02
접수상태: 접수중
접수방법: 방문
우대사항: 보훈취업지원대상자, 북한이탈주민, 장애인 식품위생법에 따른 유효기간 만료 전 건강진단결과서(보건증) 유효한 자
* 임용예정일(2025.8.18.) 기준 유효하여야 함.
담당자: 정인학 | 연락처: 041-746-8888 | 홈페이지: http://bio.kopo.ac.kr/"
KJAV002510240005,국방부근무지원단 공무직근로자(조리원) 채용 공고,서울,용산구,10210,"04382 서울특별시 용산구 한강대로62길 79, 6층 (용산동3가)",국방부근무지원단,국방부근무지원단,CM0105,CM0105,60,0,1,2025-10-24,2025-11-12,2025-10-24,2025-11-12,접수중,방문,CM0804,"['보훈취업지원대상자', '장애인']",,정상협,02-748-1123,,B,KJAV002510240005,"채용 공고: 국방부근무지원단 공무직근로자(조리원) 채용 공고
기관명: 국방부근무지원단
근무지역: 서울 용산구
상세주소: 04382 서울특별시 용산구 한강대로62길 79, 6층 (용산동3가)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-24 ~ 2025-11-12
접수상태: 접수중
접수방법: 방문
우대사항: 보훈취업지원대상자, 장애인
담당자: 정상협 | 연락처: 02-748-1123"
KJAM002510240010,흑석동 우리유앤미 아파트 미화원 채용합니다.(장애인등록증 또는 장애인 복지카드 소지자 우대),서울,동작구,10200,"07276 서울특별시 영등포구 양평동2가 선유서로25길 28, 1310호 (양평동2가)",엘림에스 유한책임회사,엘림에스 유한책임회사,CM0105,CM0105,60,0,1,2025-10-24,2025-11-09,2025-10-24,2025-11-09,접수중,방문,CM0804,"['고용촉진장려금대상자', '보훈취업지원대상자', '장애인']",,이윤필,02-6082-5457,http://www.elims.co.kr,B,KJAM002510240010,"채용 공고: 흑석동 우리유앤미 아파트 미화원 채용합니다.(장애인등록증 또는 장애인 복지카드 소지자 우대)
기관명: 엘림에스 유한책임회사
근무지역: 서울 동작구
상세주소: 07276 서울특별시 영등포구 양평동2가 선유서로25길 28, 1310호 (양평동2가)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-24 ~ 2025-11-09
접수상태: 접수중
접수방법: 방문
우대사항: 고용촉진장려금대상자, 보훈취업지원대상자, 장애인
담당자: 이윤필 | 연락처: 02-6082-5457 | 홈페이지: http://www.elims.co.kr"
KJ20842510240003,[한빛5단지] 아파트 외곽청소 직원 모집,경기,파주시,10080,"08595 서울특별시 금천구 범안로 1130, 1호실 (가산동, 디지털엠파이어빌딩)",(주)한강티에스,(주)한강티에스,CM0105,CM0105,60,0,1,2025-10-24,2025-12-23,2025-10-24,2025-12-23,접수중,방문,CM0804,['장애인'],,김정수,,,B,KJ20842510240003,"채용 공고: [한빛5단지] 아파트 외곽청소 직원 모집
기관명: (주)한강티에스
근무지역: 경기 파주시
상세주소: 08595 서울특별시 금천구 범안로 1130, 1호실 (가산동, 디지털엠파이어빌딩)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-24 ~ 2025-12-23
접수상태: 접수중
접수방법: 방문
우대사항: 장애인
담당자: 김정수"
KJAC002510240005,강일리버파크9단지아파트 내부 청소원 모집,서울,강동구,10020,"05246 서울특별시 강동구 올림픽로 683, 명화빌딩 206호",(주)융성종합관리,(주)융성종합관리,CM0105,CM0105,60,0,1,2025-10-24,2025-12-23,2025-10-24,2025-12-23,접수중,방문,CM0804,"['(준)고령자(50세이상)', '장애인']",,문천식,,,B,KJAC002510240005,"채용 공고: 강일리버파크9단지아파트 내부 청소원 모집
기관명: (주)융성종합관리
근무지역: 서울 강동구
상세주소: 05246 서울특별시 강동구 올림픽로 683, 명화빌딩 206호
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-24 ~ 2025-12-23
접수상태: 접수중
접수방법: 방문
우대사항: (준)고령자(50세이상), 장애인
담당자: 문천식"
KEC0252510240001,(채용대행)운정센트레빌 내부미화원 모집,경기,파주시,10200,"07281 서울특별시 영등포구 선유로9길 10 (문래동6가, 문래 SK V1 center)",(주)두원에이앤씨,(주)두원에이앤씨,CM0105,CM0105,60,0,2,2025-10-24,2025-12-23,2025-10-24,2025-12-23,접수중,방문,CM0804,"['(준)고령자(50세이상)', '장애인']",,박태종,031-8071-4247,,B,KEC0252510240001,"채용 공고: (채용대행)운정센트레빌 내부미화원 모집
기관명: (주)두원에이앤씨
근무지역: 경기 파주시
상세주소: 07281 서울특별시 영등포구 선유로9길 10 (문래동6가, 문래 SK V1 center)
연령: 60세 이상
모집인원: 2명
고용형태: CM0105
접수기간: 2025-10-24 ~ 2025-12-23
접수상태: 접수중
접수방법: 방문
우대사항: (준)고령자(50세이상), 장애인
담당자: 박태종 | 연락처: 031-8071-4247"
K150122510240008,온라인몰 주문접수 및 택배물품 포장,인천,서구,110070,"22837 인천광역시 서구 가정로77번길 28, 3층 (가좌동)",주식회사 이온폴리스(IONPOLIS CO. LTD.),주식회사 이온폴리스(IONPOLIS CO. LTD.),CM0105,CM0105,60,0,1,2025-10-24,2025-11-07,2025-10-24,2025-11-07,접수중,방문,CM0804,"['고용촉진장려금대상자', '장애인']",,황규진,070-5101-2455,http://www.ionpolis.com,B,K150122510240008,"채용 공고: 온라인몰 주문접수 및 택배물품 포장
기관명: 주식회사 이온폴리스(IONPOLIS CO. LTD.)
근무지역: 인천 서구
상세주소: 22837 인천광역시 서구 가정로77번길 28, 3층 (가좌동)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-24 ~ 2025-11-07
접수상태: 접수중
접수방법: 방문
우대사항: 고용촉진장려금대상자, 장애인
담당자: 황규진 | 연락처: 070-5101-2455 | 홈페이지: http://www.ionpolis.com"
K161132510240036,건설 경험을 바탕으로 성장하고자 하는 능동적인 CAD 숙련자를 찾습니다.,전북,전주시,130120,"54860 전북특별자치도 전주시 덕진구 만성중앙로 25, 미네르바B/D 203호 (만성동)",주식회사 이소건설,주식회사 이소건설,CM0105,CM0105,60,0,1,2025-10-24,2025-12-23,2025-10-24,2025-12-23,접수중,방문,CM0804,"['고용촉진장려금대상자', '운전면허증', '장애인', '차량소지자 - 건설 현장 경험\r\n- CAD(기술) 숙련도\r\n- 팀워크 및 의사소통 능력\r\n- 3개월 수습 기간 가능']",,이석재,063-270-9002,,B,K161132510240036,"채용 공고: 건설 경험을 바탕으로 성장하고자 하는 능동적인 CAD 숙련자를 찾습니다.
기관명: 주식회사 이소건설
근무지역: 전북 전주시
상세주소: 54860 전북특별자치도 전주시 덕진구 만성중앙로 25, 미네르바B/D 203호 (만성동)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-24 ~ 2025-12-23
접수상태: 접수중
접수방법: 방문
우대사항: 고용촉진장려금대상자, 운전면허증, 장애인, 차량소지자 - 건설 현장 경험
- CAD(기술) 숙련도
- 팀워크 및 의사소통 능력
- 3개월 수습 기간 가능
담당자: 이석재 | 연락처: 063-270-9002"
KJK6002510230013,하림그룹 (주)한강식품 물류팀 생산직 모집(3톤미만 지게차면허 필수),경기,화성시,30530,"18365 경기도 화성시 만년로969번길 17, (주)한강식품 (안녕동)",(주)한강식품,(주)한강식품,CM0105,CM0105,60,0,1,2025-10-23,2025-12-22,2025-10-23,2025-12-22,접수중,방문,CM0804,"['북한이탈주민', '장애인']",,박길연,031-8058-9806,hangangfood.com,B,KJK6002510230013,"채용 공고: 하림그룹 (주)한강식품 물류팀 생산직 모집(3톤미만 지게차면허 필수)
기관명: (주)한강식품
근무지역: 경기 화성시
상세주소: 18365 경기도 화성시 만년로969번길 17, (주)한강식품 (안녕동)
연령: 60세 이상
모집인원: 1명
고용형태: CM0105
접수기간: 2025-10-23 ~ 2025-12-22
접수상태: 접수중
접수방법: 방문
우대사항: 북한이탈주민, 장애인
담당자: 박길연 | 연락처: 031-8058-9806 | 홈페이지: hangangfood.com"
