jobId,recrtTitle,emplymShp,emplymShpNm,frDd,toDd,workPlc,workPlcNm,oranNm,acptMthd,deadline,stmId
KJ21432510270002,관리사무직 채용(기술 영업지원),CM0105,CM0105,2025-10-27,2025-12-26,160110,충북 청주시 청원구,웰토트,방문,접수중,B
KJ20972510270001,김포 썬앤빌더킹 오피스텔 미화원 구인(김포구래동),CM0103,CM0103,2025-10-27,2025-11-26,030140,경기 김포시,에스에이치그린주식회사,방문,접수중,B
K151822510270011,철골 사무직 모집합니다.,CM0105,CM0105,2025-10-27,2025-12-26,030490,경기 파주시,새마을산업개발주식회사,방문,접수중,B
KJDH002510270004,인천 루원시티 센트럴타운 아파트 내부 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),CM0105,CM0105,2025-10-27,2025-11-10,010200,인천 서구,엘림에스 유한책임회사,방문,접수중,B
KJ21062510270017,1호선 관악역 석수e편한세상 아파트 실내미화원 구인,CM0105,CM0105,2025-10-27,2025-11-26,030340,경기 안양시 만안구,삼우서비스주식회사,방문,접수중,B
KJAC002510270009,[구산동]아파트경비원모집,CM0105,CM0105,2025-10-27,2025-12-26,010020,서울 은평구,주식회사광운티엠에스,방문,접수중,B
K130042510270016,하단동 요양보호사님 모십니다.,CM0105,CM0105,2025-10-27,2025-12-26,090040,부산 사하구,치사랑재가복지센터,방문,접수중,B
KJ21022510270016,영통아이파크캐슬1단지 아파트 외곽청소 미화원 모집,CM0105,CM0105,2025-10-27,2025-11-26,010170,경기 수원시 영통구,승인산업주식회사,방문,접수중,B
KJKD002510270001,과천푸르지오써밋아파트 미화원 구인,CM0105,CM0105,2025-10-27,2025-12-26,030340,경기 과천시,삼우서비스주식회사,방문,접수중,B
K151152510270056,회계및 해외거래처관리,CM0103,CM0103,2025-10-27,2025-12-26,030530,경기 화성시,삼진머시너리 주식회사,방문,접수중,B
KJAT002510270004,목동현대하이페리온아파트 내부 미화원 모집(복지카드소지자 우대),CM0105,CM0105,2025-10-27,2025-11-10,110020,서울 양천구,(주)현대종합관리,방문,접수중,B
