jobId,recrtTitle,emplymShp,emplymShpNm,frDd,toDd,workPlc,workPlcNm,oranNm,acptMthd,deadline,stmId,acptMthdCd,age,ageLim,clltPrnnum,detCnts,etcItm,frAcptDd,toAcptDd,plDetAddr,plbizNm,clerk,clerkContt,homepage,stmId_detail,lnkStmId,organYn_detail,wantedAuthNo,wantedTitle,createDy,updDy
KJ21432510270002,관리사무직 채용(기술 영업지원),CM0105,CM0105,2025-10-27,2025-12-26,160110,충북 청주시 청원구,웰토트,방문,접수중,B,CM0804,60,,1,,"운전면허증, 장애인, 차량소지자",2025-10-27,2025-12-26,28143 충청북도 청주시 청원구 내수읍 내수1길 62,웰토트,김성근,043-221-9197,,A,B,N,KJ21432510270002,관리사무직 채용(기술 영업지원),,
KJ20972510270001,김포 썬앤빌더킹 오피스텔 미화원 구인(김포구래동),CM0103,CM0103,2025-10-27,2025-11-26,030140,경기 김포시,에스에이치그린주식회사,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-27,2025-11-26,"14598 경기도 부천시 원미구 부일로205번길 32 (상동, 하이센스빌)",에스에이치그린주식회사,박정희,031-996-3401,,A,B,N,KJ20972510270001,김포 썬앤빌더킹 오피스텔 미화원 구인(김포구래동),,
K151822510270011,철골 사무직 모집합니다.,CM0105,CM0105,2025-10-27,2025-12-26,030490,경기 파주시,새마을산업개발주식회사,방문,접수중,B,CM0804,60,,2,,"고용허가제, 북한이탈주민, 운전면허증, 장애인",2025-10-27,2025-12-26,10802 경기도 파주시 적성면 적성산단1로 39-20,새마을산업개발주식회사,양미연,032-565-7330,,A,B,N,K151822510270011,철골 사무직 모집합니다.,,
KJDH002510270004,인천 루원시티 센트럴타운 아파트 내부 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),CM0105,CM0105,2025-10-27,2025-11-10,010200,인천 서구,엘림에스 유한책임회사,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-27,2025-11-10,"07276 서울특별시 영등포구 양평동2가 선유서로25길 28, 1310호 (양평동2가)",엘림에스 유한책임회사,이윤필,02-6082-5457,http://www.elims.co.kr,A,B,N,KJDH002510270004,인천 루원시티 센트럴타운 아파트 내부 미화원 채용합니다.(장애인등록증 또는 장애인복지카드 소지자 우대),,
KJ21062510270017,1호선 관악역 석수e편한세상 아파트 실내미화원 구인,CM0105,CM0105,2025-10-27,2025-11-26,030340,경기 안양시 만안구,삼우서비스주식회사,방문,접수중,B,CM0804,60,,1,,"(준)고령자(50세이상), 장애인",2025-10-27,2025-11-26,"13968 경기도 안양시 만안구 안양로 503, 301호",삼우서비스주식회사,김성용,,,A,B,N,KJ21062510270017,1호선 관악역 석수e편한세상 아파트 실내미화원 구인,,
KJAC002510270009,[구산동]아파트경비원모집,CM0105,CM0105,2025-10-27,2025-12-26,010020,서울 은평구,주식회사광운티엠에스,방문,접수중,B,CM0804,60,,1,,"(준)고령자(50세이상), 장애인",2025-10-27,2025-12-26,05343 서울특별시 강동구 천중로 212,주식회사광운티엠에스,이성근,02-481-1842,,A,B,N,KJAC002510270009,[구산동]아파트경비원모집,,
K130042510270016,하단동 요양보호사님 모십니다.,CM0105,CM0105,2025-10-27,2025-12-26,090040,부산 사하구,치사랑재가복지센터,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-27,2025-12-26,"48508 부산광역시 남구 수영로 312, 1819호 (대연동, 21 센츄리시티 오피스텔)",치사랑재가복지센터,전나겸,051-610-1608,,A,B,N,K130042510270016,하단동 요양보호사님 모십니다.,,
KJ21022510270016,영통아이파크캐슬1단지 아파트 외곽청소 미화원 모집,CM0105,CM0105,2025-10-27,2025-11-26,010170,경기 수원시 영통구,승인산업주식회사,방문,접수중,B,CM0804,60,,1,,"고용촉진장려금대상자, 보훈취업지원대상자, 북한이탈주민, 장애인",2025-10-27,2025-11-26,"02831 서울특별시 성북구 성북로4길 52, 스카이상가 동관1층 (돈암동, 한신한진아파트)",승인산업주식회사,정병천,,,A,B,N,KJ21022510270016,영통아이파크캐슬1단지 아파트 외곽청소 미화원 모집,,
KJKD002510270001,과천푸르지오써밋아파트 미화원 구인,CM0105,CM0105,2025-10-27,2025-12-26,030340,경기 과천시,삼우서비스주식회사,방문,접수중,B,CM0804,60,,1,,장애인,2025-10-27,2025-12-26,"13968 경기도 안양시 만안구 안양로 503, 301호",삼우서비스주식회사,김성용,,,A,B,N,KJKD002510270001,과천푸르지오써밋아파트 미화원 구인,,
K151152510270056,회계및 해외거래처관리,CM0103,CM0103,2025-10-27,2025-12-26,030530,경기 화성시,삼진머시너리 주식회사,방문,접수중,B,CM0804,60,,1,,"고용촉진장려금대상자, 장애인 당사는 건설장비 운영및 수입판매 정비 대여
주요 업무는 회계 장부정리및 전자세금 계산서 발행 
일본및 기타지역 업무경험자 및 
외국어(일본어, 영어)  가능자 우대 합니다.",2025-10-27,2025-12-26,18274 경기도 화성시 남양읍 현대기아로487번길 61,삼진머시너리 주식회사,김주희,02-536-3044,,A,B,N,K151152510270056,회계및 해외거래처관리,,
