강좌명,교육시작시간,교육종료시간,요일,정원(명),강사명,주소,교육장소,교육비,이용대상,신청장소,문의 전화,비고
라인댄스 기초, 09:00:00, 10:50:00,금요일,35,김*현,부산광역시 금정구 청룡예전로 110 (청룡동),2층 대강당,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
라인댄스 심화, 09:00:00, 09:50:00,"월요일, 수요일",35,김*현,부산광역시 금정구 청룡예전로 110 (청룡동),2층 대강당,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
줌바댄스 1반, 11:00:00, 11:50:00,금요일,35,김*현,부산광역시 금정구 청룡예전로 110 (청룡동),2층 대강당,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
요가교실 1반, 13:00:00, 13:50:00,"월요일, 수요일",30,박*진,부산광역시 금정구 청룡예전로 110 (청룡동),2층 대강당,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
요가교실 2반, 14:00:00, 14:50:00,"월요일, 수요일",30,박*진,부산광역시 금정구 청룡예전로 110 (청룡동),2층 대강당,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
단전호흡, 15:00:00, 15:50:00,"월요일, 수요일",30,강*란,부산광역시 금정구 청룡예전로 110 (청룡동),2층 대강당,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
웰빙댄스 고급, 11:00:00, 11:50:00,"화요일, 목요일",40,진*현,부산광역시 금정구 청룡예전로 110 (청룡동),2층 대강당,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
신바람체조 기초, 12:10:00, 13:00:00,"화요일, 목요일",35,김*혜,부산광역시 금정구 청룡예전로 110 (청룡동),2층 대강당,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
신바람체조 심화, 13:10:00, 14:00:00,"화요일, 목요일",35,김*혜,부산광역시 금정구 청룡예전로 110 (청룡동),2층 대강당,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
생활체육, 14:10:00, 15:00:00,목요일,40,서*호,부산광역시 금정구 청룡예전로 110 (청룡동),2층 대강당,무료,60세 이상,복지관1층사무실,051-792-7200,
영어교실 초급, 09:25:00, 10:15:00,"월요일, 수요일",22,황*숙,부산광역시 금정구 청룡예전로 110 (청룡동),3층 프로그램 1실,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
영어교실 중급1반, 10:25:00, 11:15:00,"월요일, 수요일",22,황*숙,부산광역시 금정구 청룡예전로 110 (청룡동),3층 프로그램 1실,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
영어교실 중급2반, 11:25:00, 12:15:00,"월요일, 수요일",22,황*숙,부산광역시 금정구 청룡예전로 110 (청룡동),3층 프로그램 1실,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
명심보감/논어, 11:25:00, 12:15:00,"월요일, 수요일",22,윤*열,부산광역시 금정구 청룡예전로 110 (청룡동),3층 프로그램 2실,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
한글교실, 09:00:00, 10:50:00,금요일,20,박*랑,부산광역시 금정구 청룡예전로 110 (청룡동),3층 프로그램 2실,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
금정노래교실, 10:30:00, 11:50:00,월요일,150,설*경,부산광역시 금정구 청룡예전로 110 (청룡동),2층 대강당,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
가곡·합창, 14:10:00, 16:00:00,화요일,50,양*근,부산광역시 금정구 청룡예전로 110 (청룡동),2층 대강당,"60,000원 / 4개월",60세 이상,복지관1층사무실,051-792-7200,
