강좌명,교육시작일자,교육종료일자,교육시작시각,교육종료시각,강좌내용,교육대상구분,교육방법구분,운영요일,교육장소,강좌정원수,수강료,교육장도로명주소,운영기관명,운영기관전화번호,접수방법구분,선정방법구분,홈페이지주소,데이터기준일자
ABC,2024-01-01,2025-02-28,14:30,16:30,알파벳 및 단어연습,만60세 이상 노인,강의,수,3층 배움실,20,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
실용영어,2024-01-01,2025-02-28,12:30,14:30,실용적인 표현 익히기,만60세 이상 노인,강의,수,3층 배움실,20,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
영어교실초급,2024-01-01,2025-02-28,14:00,15:00,기초영단어 및 짧은 회화연습,만60세 이상 노인,강의,"화, 목",3층 누리실,30,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
영어말문트기,2024-01-01,2025-02-28,13:00,14:00,기초문법 및 일상생활회화연습,만60세 이상 노인,강의,"화, 목",3층 누리실,30,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
영어회화중급,2024-01-01,2025-02-28,10:00,11:00,문장읽기와 기본어법 등 영어필수표현 연습,만60세 이상 노인,강의,"수, 금",4층 소회의실,30,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
영어회화고급,2024-01-01,2025-02-28,11:00,12:00,"시사영역, 영자신문탐독 등",만60세 이상 노인,강의,"수, 금",4층 소회의실,30,4개월 40000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
원어민일어회화,2024-01-01,2025-02-28,09:30,11:00,일본어로 대화하기,만60세 이상 노인,강의,"월, 목",3층 배움실,20,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
일어회화초급,2024-01-01,2025-02-28,09:30,11:00,일본어를 통해 일본 문화 알아보기,만60세 이상 노인,강의,"월, 목",3층 누리실,30,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
일어회화중급,2024-01-01,2025-02-28,11:00,12:30,일본어를 배워 일본소설 읽어보기,만60세 이상 노인,강의,"월, 목",3층 누리실,30,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
기초영어,2024-01-01,2025-02-28,11:00,12:00,간단한 문장 패턴 및 문법 익히기,만60세 이상 노인,강의,"수, 금",3층 배움실,20,4개월 48000원,해운대구 재반로 12번길 16,어진샘노인종합복지관,051-784-8008,방문접수,"기존접수, 신규접수, 추가접수",어진샘 노인종합복지관 (saem.or.kr),2024-12-12
