연번,사업장,프로그램명,프로그램 분야,프로그램 설명
1,서구노인복지관,교육프로그램_컴퓨터기초,복지,컴퓨터 기초 교육
2,서구노인복지관,교육프로그램_컴퓨터활용,복지,컴퓨터 활용 교육
3,서구노인복지관,교육프로그램_핸드폰활용A,복지,스마트폰 기본 기능 교육
4,서구노인복지관,교육프로그램_핸드폰활용B,복지,스마트폰 기본 기능 교육
5,서구노인복지관,교육프로그램_핸드폰활용C,복지,스마트폰 기본 기능 교육
6,서구노인복지관,교육프로그램_핸드폰활용D,복지,스마트폰 기본 기능 교육
7,서구노인복지관,교육프로그램_핸드폰활용E,복지,스마트폰 기본 기능 교육
8,서구노인복지관,교육프로그램_스마트폰카메라활용,복지,스마트폰 촬영 사진 및 동영상 편집
9,서구노인복지관,교육프로그램_어르신 디지털 역량강화 교육,복지,스마트폰 환경설정 및 편리한 기능 숙지 심화과정
10,서구노인복지관,교육프로그램_신박한 앱활용 교육,복지,스마트폰 기본 앱 활용 교육
11,서구노인복지관,교육프로그램_오카리나기초,복지,오카리나 악기 기초 교육
12,서구노인복지관,교육프로그램_오카리나활용,복지,오카리나 악기 활용 교육
13,서구노인복지관,교육프로그램_하모니카기초,복지,하모니카 악기 기초 교육
14,서구노인복지관,교육프로그램_하모니카활용,복지,하모니카 악기 활용 교육
15,서구노인복지관,교육프로그램_댄스스포츠초급,복지,"줌바, 자이브 등 기본 스텝 댄스스포츠 기초과정"
16,서구노인복지관,교육프로그램_댄스스포츠중급,복지,"파트너와 함께하는 활츠, 탱고 등 댄스스포츠 교육"
17,서구노인복지관,교육프로그램_라인댄스초급,복지,파트너 없이 라인을 맞춰 추는 선무
18,서구노인복지관,교육프로그램_라인댄스중급,복지,가요와 올드팝에 맞춰 작품 연습과정
19,서구노인복지관,교육프로그램_라지볼초급,복지,"라지볼 기초 단,복식 경기 교육"
20,서구노인복지관,교육프로그램_라지볼중급,복지,"라지볼 기술 훈련, 경기력 향상 심화교육"
21,서구노인복지관,교육프로그램_사교댄스초급,복지,파트너 댄스의 기본 예절 및 스텝 교육
22,서구노인복지관,교육프로그램_사교댄스중급,복지,파트너 댄스의 기술동작 심화교육
23,서구노인복지관,교육프로그램_에어로빅,복지,에어로빅 건강 교육
24,서구노인복지관,교육프로그램_실버요가,복지,"신진대사 촉진, 유연성, 균형 유지 요가"
25,서구노인복지관,교육프로그램_웰빙요가,복지,명상호흡 요가
26,서구노인복지관,교육프로그램_우리춤창작,복지,다양한 장르의 창작무용
27,서구노인복지관,교육프로그램_챠밍댄스,복지,방송댄스
28,서구노인복지관,교육프로그램_명리학,복지,음양오행 기반 인간 특성 이해 교육
29,서구노인복지관,교육프로그램_팝송영어,복지,올드팝송을 통한 영어 교육
30,서구노인복지관,교육프로그램_영어입문,복지,"파닉스, 기초 영단어 교육"
31,서구노인복지관,교육프로그램_영어회화,복지,기본 문법 및 회화 교육
32,서구노인복지관,교육프로그램_일어입문,복지,"히라가나, 기초 단어 교육"
33,서구노인복지관,교육프로그램_일어회화,복지,기본 문법 및 회화 교육
34,서구노인복지관,교육프로그램_역사이야기,복지,"조선 문화재, 유적지, 역사적 사건 교육"
35,서구노인복지관,교육프로그램_중국어입문,복지,"한어병음 기초, 발음 교육"
36,서구노인복지관,교육프로그램_중국어회화,복지,기본 문법 및 회화 교육
37,서구노인복지관,교육프로그램_한글기초,복지,"자음, 모음 기초문해교육"
38,서구노인복지관,교육프로그램_한글활용,복지,"받침 및 시와 산문 읽고, 쓰기 교육"
39,서구노인복지관,교육프로그램_한자기초,복지,"한자원리 이해, 사자소학 교육"
40,서구노인복지관,교육프로그램_한자활용,복지,"동몽선습, 명심보감 교육"
41,서구노인복지관,교육프로그램_통기타교실,복지,통기타 악기 교육
42,서구노인복지관,교육프로그램_노래교실,복지,신나는 트로트 배우기
43,서구노인복지관,교육프로그램_농악기초,복지,사물놀이 기초 교육
44,서구노인복지관,교육프로그램_농악활용,복지,길놀이 공연 교육
45,서구노인복지관,교육프로그램_우리가락,복지,전통민요 교육
46,서구노인복지관,교육프로그램_종합공예,복지,"비즈, 종이, 매듭 등 공예교육"
47,서구노인복지관,교육프로그램_캘리그라피,복지,"붓펜, 수채화 캘리그라피 교육"
48,서구노인복지관,교육프로그램_한국무용,복지,"기본 무용장단, 중급 이상 무대작품 교육"
49,서구노인복지관,교육프로그램_합창,복지,"순수 가곡, 다양한 장르 음악 교육"
50,서구노인복지관,교육프로그램_한글서예,복지,한글 글 구성 및 체본교육
51,서구노인복지관,교육프로그램_한문서예기초,복지,한문서예 기초 한문필법 기본 교육
52,서구노인복지관,교육프로그램_한문서예활용,복지,한문서예 기초 한문필법 심화 교육
53,서구노인복지관,교육프로그램_민간여가 기체조,복지,민간여가시설활용 기체조 교육
54,서구노인복지관,교육프로그램_민간여가 에어로빅,복지,민간여가시설활용 에어로빅 교육
55,서구노인복지관,교육프로그램_단기특강 환경을 부탁해,복지,ESG 경영실펀 이론 및 체험 교육
